,Open,High,Low,Close,Volume,Dividends,Stock Splits,Previous_close,Return
2020-03-11,26.901736340072926,26.997359851777865,25.22834571056737,25.634740829467773,65350213,0.0,0.0,27.563125610351562,-0.020526182936278392
2020-03-12,24.288062190653623,25.499277982950975,23.90557290877295,23.921510696411133,62731445,0.0,0.0,25.634740829467773,-0.0052843462478496805
2020-03-13,24.91757656671537,26.200508388135876,24.088848461053104,26.065044403076172,60553038,0.0,0.0,23.921510696411133,0.0952698063532691
2020-03-16,23.85775789269381,25.722392161521302,23.62667043165247,24.049001693725586,50995050,0.0,0.0,26.065044403076172,-0.013146044804528745
2020-03-17,25.212409003653374,26.01723118390572,24.375714454066703,25.626773834228516,54220606,0.0,0.0,24.049001693725586,0.08184246128992734
2020-03-18,24.519150477586628,25.985359705027836,24.1525989717007,25.78614616394043,43884976,0.0,0.0,25.626773834228516,0.013992626349258686
2020-03-19,25.67458309749568,25.698488975613834,23.913540238037093,24.240249633789062,59820929,0.0,0.0,25.78614616394043,-0.003399390811224645
2020-03-20,24.12869192271341,24.43946515992532,23.037003949038635,23.116689682006836,52488989,0.0,0.0,24.240249633789062,0.008218377663015808
2020-03-23,22.917477457410815,23.57089633994417,22.21624681198038,22.702327728271484,52853041,0.0,0.0,23.116689682006836,0.019648429951926616
2020-03-24,23.515115484217677,23.945414924203668,23.029036190539298,23.66651725769043,44466784,0.0,0.0,22.702327728271484,0.05475593563844794
2020-03-25,23.507146035038467,24.479306168250734,23.108718989352955,23.706357955932617,44601275,0.0,0.0,23.66651725769043,0.03434341021580556
2020-03-26,23.817918835368243,25.491307912039975,23.809949141193233,25.300064086914062,43269967,0.0,0.0,23.706357955932617,0.07529414511606447
2020-03-27,24.543052161325114,25.292092833135865,24.431492469239892,24.622737884521484,38290344,0.0,0.0,25.300064086914062,-0.00031506852120266604
2020-03-30,24.74226888027586,26.176602472318624,24.74226888027586,26.03316879272461,29943508,0.0,0.0,24.622737884521484,0.06310689717303708
