,Open,High,Low,Close,Volume,Dividends,Stock Splits,Previous_close,Return
2020-01-02,76.12425644453343,77.01020090611665,75.5308468038097,76.92662048339844,8251428,0.0,0.0,,
2020-01-03,75.78994736017292,76.95169995656937,75.64785996217711,76.26634979248047,5903698,0.0,0.0,76.92662048339844,0.00032601813277821634
2020-01-06,76.24964057293879,76.67589610767544,76.04904619516674,76.59231567382812,7522963,0.0,0.0,76.26634979248047,0.005369947772632999
2020-01-07,75.89024444602143,76.15769915797962,74.48611054958708,74.55297088623047,11132275,0.0,0.0,76.59231567382812,-0.005674414097875502
2020-01-08,74.46103287655538,74.80370795386558,73.89268997511614,74.0514907836914,15200506,0.0,0.0,74.55297088623047,0.0033632069205900006
2020-01-09,74.34400455520105,75.26338240366913,74.201917186662,74.70339965820312,9714750,0.0,0.0,74.0514907836914,0.016365526300040623
2020-01-10,74.98758193589781,75.31354359941928,74.76191411263159,74.82878112792969,5945304,0.0,0.0,74.70339965820312,0.008167552534527056
2020-01-13,74.82041754230711,74.91235801332144,74.40252210587667,74.81205749511719,10261492,0.0,0.0,74.82878112792969,0.0011169082822406473
2020-01-14,74.61147078180275,75.16309356689453,74.27715576490546,75.16309356689453,8625669,0.0,0.0,74.81205749511719,0.0046922392396473445
2020-01-15,75.30516690349386,76.56721972333294,75.29680685775685,76.50871276855469,9614038,0.0,0.0,75.16309356689453,0.01868105861274527
2020-01-16,76.77616748121167,76.94332829997482,76.09917084310425,76.20782470703125,7252474,0.0,0.0,76.50871276855469,0.005680601799364693
2020-01-17,76.29142038769153,76.58394853773727,75.9403852710983,76.0323257446289,10131226,0.0,0.0,76.20782470703125,0.004935501467886905
2020-01-21,75.82337540661254,76.03232312334272,74.9792178098698,75.19652557373047,10022129,0.0,0.0,76.0323257446289,-3.447594376648766e-08
2020-01-22,75.36369271244571,75.60607395524322,74.90400368764412,74.9290771484375,7800474,0.0,0.0,75.19652557373047,0.005446373730541465
2020-01-23,74.93742137354687,74.93742137354687,73.76730896307406,74.0180435180664,13198093,0.0,0.0,74.9290771484375,0.00011136164259495374
2020-01-24,74.07655192266778,74.24371275105632,71.52737267916042,71.8616943359375,14954960,0.0,0.0,74.0180435180664,0.00304884082669421
