,LLY,JNJ,ABBV,AZN,NVS,CVS,WBA,NVO,PFE,TCNNF,MRK
count,1106.0,1106.0,1106.0,1106.0,1106.0,1106.0,1106.0,1106.0,1106.0,1106.0,1106.0
mean,0.013452226438935679,0.007827759012557065,0.010529180725582737,0.008610731973608517,0.0063702410279762,0.010878869324113789,0.013587287318779534,0.009368266755808872,0.011177343018330446,0.03504246935275147,0.00984331539626008
std,0.018222519962767112,0.009910358632581271,0.012852930309007736,0.015243385219109328,0.01128429676166626,0.015193466436460879,0.017642270080182643,0.016475395688539833,0.015025558788979593,0.03761862215625016,0.012205092132133543
min,-0.07160713866187596,-0.02441528554815464,-0.05187655289833415,-0.08017962045959137,-0.050767030496666865,-0.1597991410592926,-0.0766065097744052,-0.033021294988254346,-0.06473060924423102,-0.025233605649332747,-0.07223328552637487
25%,0.003986828823327515,0.0025541973913261184,0.003723944367890364,0.0004229818005488384,0.00010245641679795803,0.003122314039958385,0.00391588931153225,-0.00043955412312376985,0.00269494610468346,0.01179186395531634,0.003227382414549007
50%,0.010004500695606655,0.006193537250720693,0.008553138883265587,0.007589388068161229,0.0056257380905064824,0.009684419008973322,0.010865497138276003,0.007623792153365838,0.007976718897141133,0.025659928575456514,0.007409380051745407
75%,0.01858831096886182,0.010911871329846778,0.015425534280990694,0.015390509765545846,0.011640519067501964,0.016891220462947776,0.019014794515317623,0.016334084024835216,0.016631857412104045,0.04812403649137004,0.014206604973294568
max,0.18481333434381053,0.08793434809083589,0.11348842014000704,0.09843858025772678,0.08374203988502149,0.13288721682587834,0.12896138299835092,0.1910014303694212,0.15357131724280126,0.3942308203708509,0.12288634107251939
