,Open,High,Low,Close,Volume,Dividends,Stock Splits,Previous_close,Return
2020-04-24,153.08992262436573,155.830415471427,151.77637386504972,153.96876525878906,4414000,0.0,0.0,151.13375854492188,0.031076160427182975
2020-04-27,154.97991551990808,155.45241526234682,151.88031836307374,152.41896057128906,3210300,0.0,0.0,153.96876525878906,0.009636045343768496
2020-04-28,152.088219798317,153.07101292054108,147.97746626060427,148.64842224121094,3270200,0.0,0.0,152.41896057128906,0.00427802647917308
2020-04-29,149.0831037389735,149.33825762058396,146.1630589834266,146.62611389160156,3240700,0.0,0.0,148.64842224121094,0.004640717802262495
2020-04-30,146.6639019392949,148.34599969414165,144.84950484708537,146.13470458984375,4175800,0.0,0.0,146.62611389160156,0.011729737335953505
2020-05-01,145.26529855443465,146.09690258134057,143.23355575725236,145.1802520751953,2576400,0.0,0.0,146.13470458984375,-0.00025867920018918245
2020-05-04,146.14417787899512,147.419933067592,142.9406299102698,144.8495330810547,2228500,0.0,0.0,145.1802520751953,0.01542689835830191
2020-05-05,145.34090396715854,150.46279875093015,144.34865175855876,149.20594787597656,2862600,0.0,0.0,144.8495330810547,0.038752390501213485
2020-05-06,149.74465850496586,150.19825432257784,147.75070856520028,148.0625457763672,1964800,0.0,0.0,149.20594787597656,0.0066505823710600875
2020-05-07,148.8373948957022,149.01694707603698,144.32029923909786,144.55654907226562,2330600,0.0,0.0,148.0625457763672,0.00644593333624921
2020-05-08,145.71894661238878,145.92684769389825,144.1597029206183,145.06689453125,1966600,0.0,0.0,144.55654907226562,0.0094793257754624
2020-05-11,145.02906718673006,150.69906390399728,144.6605179768896,149.8296661376953,3196200,0.0,0.0,145.06689453125,0.038824635978776056
2020-05-12,151.07704624360224,152.5228941412209,148.92244881109028,149.04530334472656,2329400,0.0,0.0,149.8296661376953,0.01797526533263749
2020-05-13,148.39328057318266,150.5856864858803,147.45772581257563,149.2437744140625,2650000,0.0,0.0,149.04530334472656,0.010334999537630507
2020-05-14,148.05697053408073,150.91480470766814,146.0346410148125,150.37362670898438,2393900,0.74,0.0,149.2437744140625,0.01119664991163738
2020-05-15,150.61098851597686,151.44649316880646,148.14241714016842,151.18064880371094,2824500,0.0,0.0,150.37362670898438,0.007134671706085616
2020-05-18,153.1839943680843,154.1619250163317,149.16783187637742,149.97486877441406,2703700,0.0,0.0,151.18064880371094,0.019719959109922636
2020-05-19,148.9209904085242,151.08573164620725,147.43034943579138,148.778564453125,2339400,0.0,0.0,149.97486877441406,0.007406993457444555
2020-05-20,147.42085708185266,149.47165461481066,143.9458724618736,145.3890380859375,3780800,0.0,0.0,148.778564453125,0.004658535080193094
2020-05-21,145.40798550988305,145.40798550988305,142.15138514961066,144.58197021484375,3049800,0.0,0.0,145.3890380859375,0.00013032223195774684
2020-05-22,144.52501328749048,144.8478222144205,142.5786414840563,143.5186004638672,2355000,0.0,0.0,144.58197021484375,0.0018387631540897065
2020-05-26,143.4711491384875,144.08828480710605,139.72083083414753,140.4803924560547,5013400,0.0,0.0,143.5186004638672,0.003969411221943275
2020-05-27,140.67974837029394,140.67974837029394,136.35975584606163,138.33460998535156,5376100,0.0,0.0,140.4803924560547,0.0014191013475535197
2020-05-28,139.9771832865239,144.41112046348672,139.10369241821107,143.03440856933594,3982700,0.0,0.0,138.33460998535156,0.04392617638332608
2020-05-29,143.99335750454134,145.87326140648372,142.36030498772388,145.2181396484375,9466300,0.0,0.0,143.03440856933594,0.01984734208742256
2020-06-01,146.6612826000328,147.1549997810643,143.26225588867302,144.74339294433594,5233800,0.0,0.0,145.2181396484375,0.013337590863757187
2020-06-02,144.39209082696993,146.29098731682367,143.4046565392849,146.0821075439453,3269400,0.0,0.0,144.74339294433594,0.010691986286951893
2020-06-03,145.5884173578808,146.58534109713477,143.22430006221825,144.81936645507812,3190300,0.0,0.0,146.0821075439453,0.0034448678325513793
2020-06-04,144.5155575887094,145.77831130133345,142.14193642035258,143.0913848876953,3328700,0.0,0.0,144.81936645507812,0.006621661658441136
2020-06-05,142.13242626664857,144.08828770335612,140.84117582968148,141.66720581054688,4578800,0.0,0.0,143.0913848876953,0.006966896130352174
